,summary,title,category
732,WIBO continuously seeks out caring professionals and business owners who have an interest in sharing their knowledge in a variety of ways that range in time commitment and experience levels.,Discussion Leader,Communities and Neighbors
733,"Assist a non profit yoga studio in administrative work, studio maintenance and website maintenance. Volunteer may be able to participate in Yoga at no cost. Nearby North Brooklyn/Queens Volunteers preferred.

APPLY HERE:http://www.hoshyoga.org/volunteer/",Admin/Front desk volunteers,Communities and Neighbors
734,"Hosh Kids is making a difference in making enrichment education a right of life rather than a luxury.

A staff development coordinator at Hosh Kids will monitor teacher progress with a focus on on-site professional development and feedback.
 www.hoshkids.org",Staff Development Coordinator,Communities and Neighbors
735,"If you have more time rather than financial resources, we are offering the opportunity to be part of the Hosh community and contribute. Below are some of the ways you can volunteer.
Web Design/Graphic Design
Editing the studio websites
Creating flyers for studio",Board Member: Web Design/Graphic Design Volunteer,Communities and Neighbors
736,"Can you assist with independent contracts, school contracts, and 501 c 3 forms? We'd love your help! Hosh Kids is a making enrichment education accessible to all schools.",Board member needed: Lawyer For Kids Non-profit,Communities and Neighbors
737,Enrichment education for children should be considered a right of life rather than a luxury. If you have experience raising funds for non-profits? Join us!,Board Member: Experienced Fundraiser,Health and Well-Being
738,"Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to help us with our accounting.

www.hoshkids.org",Accounting Volunteers for kids non-profit,Health and Well-Being
739,Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to help us get the word out to schools and parents about our program.,PR & Marketing Volunteers,Health and Well-Being
740,"Hosh is here to provide a fair chance to explore healthier living through yoga, meditation, workshops and strong community development in the Greenpoint and Williamsburg areas of Brooklyn, New York and beyond. Regularly scheduled classes are all donation-based",Grant Writing/ Prospect Research Interns/Volunteers,Health and Well-Being
741,"Arts and Crafts volunteers are needed to assist participants in our Arts and Crafts Program. The youngsters with disabilities enjoy doing art projects which include painting, beading, murals, and various craft projects. Volunteers assist the children with disabilities and invent the projects.",Arts and Crafts Volunteers,
742,Let's document Hosh Kids' enrichment work in public schools! Help us document and brand our impact as we bring more enrichment to more children all over NYC and beyond!,Creative Director/Photographer/Videographer,
743,"Grand Central Neighborhood Social Services Corporation collaborates directly with the Emergency Shelter Network through community organizations, churches, synagogues and other places of worships to provide nightly respite beds to clients.",Respite Bed Volunteer,
744,"Volunteers assist at our Museum Store and outdoors on the retail-information cart on the Memorial Plaza. Volunteers greet visitors and provide helpful information that enhances their visit, including information on how products link to exhibition themes.",9/11 Memorial & Museum: Retail Volunteers,Communities and Neighbors
745,"WANTED: Dedicated volunteers to coach youth tackle football for Brooklyn kids ages 8-14.  We practice and play our home games at McCarren Park; away games are played throughout the five boroughs. 

If you love football, work well with kids and a have positive attitude, contact us today!",Youth Football Coach,Health and Well-Being
746,"Candidates must have previous English teaching experience (whether domestic or abroad), certificate strongly preferred. This is the ideal position for retired teachers or students wanting to jumpstart their career in ESL teaching (we've had a fair bit of both in the past!).",ESOL Teacher,
747,"CentroNYC is a nonprofit, all volunteer-run language school which also offers English and Spanish classes. We are looking for a talented, passionate, and engaged individual to join our operations team!",Operations/Administrative Volunteer,Communities and Neighbors
748,Lead a computer class for seniors and assist staff with computer work.,Computer Coach - JASA Manhattan Beach Senior Center,
749,Greeters walk visitors throughout neighborhoods in all five boroughs of New York City that they know well. Visitors are able to experience the ethnic sights and sounds with the greeter and can get a real taste of New York City and its inhabitants.,Volunteer Greeter,Communities and Neighbors
750,"Brooklyn Lifelong Learning (BLL), a non-profit lifelong learning organization at Brooklyn College is recruiting volunteer teachers for the coming semesters. You can teach older adults the topic of your choice. We invite all those with a passion to share their knowledge to participate.",Teach Adults,Economic and Workforce Development
751,"Caseworkers provide immediate emergency assistance to those affected by disaster through direct intervention and referrals to internal and external partners. Caseworkers work on intake, assessment, crisis intervention, advocacy, referral, and identification of various resources to expedite recovery.",Red Cross Caseworker-In-Training Volunteer,Emergency Preparedness and Response
